"media";"mediana";"max";"tmp";"umr";"pgg";"rdz";"prs";"vv";"dv";"data"
18.875;18;25;10;64;2.59999990463257;2;1002;4.40000009536743;"S";2010-12-18
23.875;25;29;9;64;0;2;1010;1.70000004768372;"E";2010-12-19
56.8906783320187;57;67;14;80;0.200000002980232;2;1008;0.899999976158142;"SE";2010-12-20
55.0607152535906;55.7428610143624;58;12;82;0;2;1012;0.100000001490116;"SE";2010-12-21
43.75;45;52;13;81;0;1;1012;1.70000004768372;"SE";2010-12-22
69.692514592642;67.7700583705679;88;15;78;0.600000023841858;1;1007;4.90000009536743;"SE";2010-12-23
38.4863620734129;38.9454482936517;50;14;78;7.59999990463257;0;997;2.90000009536743;"SE";2010-12-24
14.0344295856009;14;18;12;62;0;2;1001;2.70000004768372;"S";2010-12-25
19.375;20.5;25;9;66;0;2;1007;0.600000023841858;"NW";2010-12-26
20.7665988878532;16.5;44;8;64;0;3;1013;6.90000009536743;"NW";2010-12-27
22.375;16;51;6;59;0;2;1017;7.09999990463257;"NW";2010-12-28
25.5065557810459;21.5262231241835;49;8;61;0;3;1019;4.5;"NW";2010-12-29
32.125;31;49;8;69;0;2;1020;1.29999995231628;"NW";2010-12-30
29.5;28.5;41;6;73;0;2;1019;0.200000002980232;"NE";2010-12-31
