X;Y;ANNO;Spawners;Recruits;salinity.minq3p;salinity.minq4p;salinity.minq1;salinity.minq2;salinity.minq3;salinity.maxq3p;salinity.maxq4p;salinity.maxq1;salinity.maxq2;salinity.maxq3;bat;dist;slope;temp.minq3p;temp.minq4p;temp.minq1;temp.minq2;temp.minq3;temp.maxq3p;temp.maxq4p;temp.maxq1;temp.maxq2;temp.maxq3;tot
774.8520126;4586.556681;1995;316.4995154;0;38.2494278;38.11355591;38.10566711;38.12818527;38.14715576;38.27143097;38.20240021;38.15103912;38.17131042;38.27622223;-226;32;23;26.62783051;17.36763;14.23966217;14.65654564;23.00872231;29.75;22.25915527;14.99988747;21.37999916;27.23797417;316.4995154
870.6625956;4542.084095;1995;0;0;38.18366623;38.08890152;38.08155441;38.09877014;38.12683105;38.24351501;38.15552139;38.12859726;38.13646698;38.23619843;-512;17;21;26.64715195;17.74058914;14.5;14.75;23.37999916;30.00020409;22.62999535;15.74999428;22.25001335;27.0164299;0
584.321081;4781.726272;1995;0;0;38.27326202;38.16978455;38.18143463;38.21938324;38.22147369;38.34246826;38.23036194;38.2216568;38.25536346;38.31839752;-168;25;4;26.27343559;17.87012672;13.53583336;14.37998962;22.25;28.24560165;20.5;14.85295963;21.00004768;25.8799839;0
591.4894055;4780.563442;1995;0;0;38.27303314;38.1685791;38.17901993;38.2170639;38.21823883;38.34102631;38.23067474;38.21970367;38.25377655;38.3180542;-137;33;2;25.99988937;17.75489235;13.72112751;14.5;22.50002861;28.2486248;20.59784889;14.88001251;21.11427689;26.12034988;0
597.6482687;4773.429271;1995;0;0;38.27287292;38.16722107;38.176651;38.21427917;38.21459198;38.33920288;38.2312851;38.21813202;38.25148392;38.31719971;-123;31;1;26.00104713;17.74967384;13.84683132;14.63000011;22.49996376;28.37999916;20.50795364;14.75000954;21.1056881;26.25020218;0
590.6201588;4769.500315;1995;0;0;38.27282715;38.16781616;38.17852402;38.21547318;38.21665955;38.33981323;38.23107147;38.21995926;38.25172424;38.31654358;-149;29;2;26.37399864;17.8801384;13.74988747;14.49996948;22.37996864;28.13000298;20.74533272;14.75;21.37999916;26.23875046;0
574.3677448;4782.942675;1995;0;0;38.27295685;38.17173767;38.18513489;38.22298431;38.22644806;38.34468079;38.23009491;38.22471619;38.25785828;38.31906509;-179;16;2;25.77793312;17.18253517;13.38835144;14.38000011;22.22592354;28.12999916;20.60428238;14.75000286;20.63823509;25.87392235;0
555.6074452;4791.648469;1995;0;0;38.270401;38.17613983;38.19216537;38.23086548;38.23658371;38.35021973;38.22987366;38.22997284;38.26432037;38.32221985;-307;28;18;25.77737808;17.74923706;13.38000011;14.38671494;22.01296997;28.12999916;20.48679543;14.63000011;20.02620506;26.14076614;0
539.2986536;4808.104422;1995;0;0;38.27092743;38.18080139;38.198349;38.23922348;38.24684906;38.35745239;38.22999573;38.23400116;38.27209473;38.32736969;-496;46;19;24.76233292;17.61871338;13.25;14.38000011;21.87978363;28.12842941;20.3740406;14.12999344;19.75;26.38005257;0
545.5286015;4808.554545;1995;89.54174772;0;38.27101135;38.17885971;38.19555664;38.23628998;38.24317169;38.35514069;38.22932816;38.23166656;38.26969147;38.32587433;-410;38;3;24.88000488;17.76636696;13.26086044;14.25784206;21.87960434;28.12999916;20.14180374;14.25;19.8706646;26.24999619;89.54174772
